filename	ground_truth	prediction
common_voice_de_37025642.mp3	ʃtat ʊnt ɪnzəl zɪnt veːɡən iːrɜ tuːrɪstɪʃən raɪtsə yːbɜreːɡɪoːnɑːl bəkant	ʃtat ʊnt ɪnzəl zɪnt veːɡən iːrɜ tuːrɪstɪʃən raɪtsə yːbɜreːɡɪoːnɑːl bəkant
common_voice_de_32993621.mp3	neːbən deːm muːzeːʊm bəfɪndət zɪç diː skʊlptuːrɑːlə kɔmpoːziːtsjoːn hɔfnʊŋ fyːɾ diː tsuːkʊnft	neːbən deːm muːzeːʊm bəfɪndət zɪç diː ʃkʊlptuːrɛlə kɔmpoːziːtsjoːn hɔfnʊŋ fyːɾ diː tsuːkʊnft
common_voice_de_26786981.mp3	zaɪnə ɡɾoːsɛltɜn vɑːrən aʊsvandərɜ aʊs dɛɾ tyɾkaɪ	zaɪnə ɡɾoːsaltɜn vɑːrən aʊsvandərɜ aʊs dɛɾ tyɾkaɪ
common_voice_de_30581709.mp3	dɛɾ ɡɾɪnç nɪmt frɔødɪç an ʊnt daɾf deːn tɾɑdiːtsjoːnɛlən bɾɑːtən anʃnaɪdən	dɛɾ (eɡyːnʃ nɪmt frɔødɪç an ʊnt daɾf deːn tɾɑdiːtsjoːnɛlən bɾɑːtən anʃnaɪdən
common_voice_de_37454777.mp3	ɪn paʊlyːs reːalɛnsykloːpɛːdiː dɛɾ klasɪʃən altɜtʊmsvɪsənʃaft	ɪn paʊlis reːalɛnsiːkloːpeːdiː dɛɾ klasɪʃən altɜtuːmsvɪsənʃaft
common_voice_de_24665655.mp3	tsuːnɛçst aɾbaɪtətə ɛɾ fynf jɑːrə als dɪploːmfɔlksvɪɾt ɪn aɪnɜ ʊntɜneːmənsbeːratʊŋ	tsuːnɛçst aɾbaɪtətə ɛɾ fynf jɑːrə als dɪploːmfɔlksvɪɾt ɪn aɪnɜ ʊntɜneːmənsbərɑːtʊŋ
common_voice_de_34349608.mp3	dɛɾ frɛsnoː joːzeːmiːtə ɪntɜnatsjoːnɑːl (en)eəpɔːt(de) vɪɾd d??ç bʊsə ɪn deːn œfəntlɪçən pɛɾzoːnənnɑːfɜkeːɾ aɪnɡəbʊndən	dɛɾ frɛsnɑːl joːsemɪti( ɪntɜnatsjoːnɑːl ɛɾnpɔːt vɪɾd d??ç bʊsə ɪn deːn œfəntlɪçən pɛɾzoːnən nɑːx fɛɾkeːɾ aɪnɡəbʊndən
common_voice_de_26670937.mp3	altfraʊnhoːfən ɡəhœɾt tsuːɾ fɛɾvaltʊŋsɡəmaɪnʃaft altfraʊnhoːfən	alt fraʊənhoːfən ɡəhœɾt tsuːɾ fɛɾvaltʊŋsɡəmaɪnʃaft als fraʊənhoːfən
common_voice_de_18211095.mp3	hɑːpt iːɾ ɔøç das aʊx ɡuːt yːbɜleːkt	hɑːpt iːɾ ɔøç das aʊx ɡuːt yːbɜleːkt
common_voice_de_18549137.mp3	jeːdən ɡədaŋkən kanst duː hiːɾ lɔsvɜdən	jeːdən ɡədaŋkən kanst duː hiːɾ loːsvɛɾdən
common_voice_de_20960511.mp3	ɛɾ ɛntvaɾf dɑːraʊfhɪn diː kaɾdaʃoːvskɑlɑː ʊm zɔlçə tsiːviːliːzatsjoːnən tsuː klasiːfiːtsiːrən	ɛɾ ɛntvaɾf dɑːraʊfhɪn diː kataʃofskɑlɑ ʊm zɔlçə tsiːviːliːzatsjoːnən tsuː klasiːfiːtsiːrən
common_voice_de_40332371.mp3	yːbɜ diːzəs vɛɾdən fɔn aɪntsɛlnən ʃtandɔɾtən aʊx pɾiːvɑːtə rʊntfʊŋkpɾɔɡɾamə apɡəʃtɾɑːlt	yːbɜ diːzəs vɛɾdən fɔn aɪntsɛlnən ʃtandɔɾtən aʊx pɾiːvɑːtə rʊntfʊŋkpɾɔɡɾamə apɡəʃtɾɑːlt
