client_id	path	sentence	duration_s
6cbf2a3aa2808e998a005e6113c2e95ac96e83587ad33e811862e080698443fe6f91b946fdd95d05cbb5e4a08bea4d6829c0594d0d8b9288935f70e12577eaef	common_voice_pl_24500136.mp3	Nie była to bardzo wesoła mowa powitalna	3.6795
509e3f7b9360a7e857f2190487f812855cc64f2776ff3802c108b9b2f7ef90f075183f297b84bad64d8a6958766e1b965ebf2741c1f1aa933502acd5f2d33e8c	common_voice_pl_21957419.mp3	Tamci nie dali i teraz jeszcze za wygraną	3.670068027210884
8c4eeac4b0268f6da0712d963ed4c527e004098ca234badee85b77c2453fd704a42e75f0eccd6caa481e5d5d25cb389f0c339690b3718dd2099b9688d1a46b89	common_voice_pl_20912001.mp3	Ale nie mów mu, że wyjeżdżasz	3.101625
a2db84266a607f095bafb294cad05f3fdcf2aa976d4376015cd39d34b1d3604eb891bdea505dff4598a8192bf00d39e8024c180233ae9cfdd33ea30d6493bce6	common_voice_pl_20685499.mp3	Czuł, że rozmowa półsłówkami, którą prowadzili, rozmowa półtonami, była grą wysokiej klasy	7.349625
40acc986b41a982d86573d4d464cdb180475c443f5a7666b01de149df825e36fd048dcc7d58d374c182337cf1aef2ab5670b19fcd158a859681440cb3487d39b	common_voice_pl_22911316.mp3	Na rozsądnych i dzielnych ludziach wcale mi zbywa... Urwał nagle	5.573625
9ab58ff974131b020e1a20bb94c909a598f3fe921df1c2a767330f0c021032824d401e1e38b9b159e4adf8ddeb8c39ae843df2927f2ddca19205d089e608d310	common_voice_pl_20649108.mp3	Nie chcieli nawet chwili pogadać z nim cierpliwie	3.989625
de2985f0326a5aaf149a521bbf9fcc1a415c878b9d00e8926c2b6f66a4b95da0270e11fb5bb62c95ad9bf53a028b9bb65d7b49e8260e2548bf92eaa77554edff	common_voice_pl_20641536.mp3	Wracam do domu	2.597625
88b92854ab7b6cb094d33c62031e668878618a06273333befcae92b5c25cb4217cc9a69cb5b383080a9ddfd0e54c0667d545fa21a59fe60c9eb0d6f5359f89f3	common_voice_pl_20608896.mp3	Wkrótce pod jedną z arkad mostowych zamajaczyły zwłoki ofiary	5.069625
c14e7e8885d9c6ce8c69ce4301e723eae5d1dc504cdff77605173deda6a24e1e1eba92d756b187251361777f49e5ee4ace8dcc36f65e03f225980c21e683f5d1	common_voice_pl_20703403.mp3	Czy skończyłaś już robotę	2.789625
2c818dfafa7197d291cac63a8b8f41377c82ebf481d2a81244a0329a579d58a91d57d2de0938abb8b4dda68239b41046591191bf1400b012becb05434b37bb36	common_voice_pl_20625866.mp3	Ja go słyszałem bardzo dawno, tak dawno	3.461625
2cc1996e46ee17c57d9fb4c24e30771954a3aa6bde75698178d517a39b8ab0eb2fe2f92520090ee98c832dd2c49c10dbc26030e0393f17fb5c26caad89ebd017	common_voice_pl_22386418.mp3	Dzisiaj jest poniedziałek	2.813625
5f4b7072465fa257a5d8d30d46f16845f3a05a4c3bdce1107a5721eeefe588652c64982c935600f3f4984997d100d8b5f8baebde4b473f93c39191df31b00268	common_voice_pl_20950946.mp3	Patrzył na gościa z bezmyślnym uśmiechem na ustach	5.789625
25c3eae89cd740ef61336ea8efc3ec63dd6eea819edf182ee64ea6065d87c3d181a67484806a211227bdf1c08f42fa3bf8d180e3f302d8a42dc37d84ef0456ee	common_voice_pl_20762751.mp3	Co robi twój papa? - zapytał, bo lubił go	4.349625
b1fc1ae975d3f14e8d7a508d7052b41069e3f3b93f41d8738f9dd9d92956cd7fe5c0ae740f0ecfce857e82ae432ede43146ecd6fd43cd72c1a8332c5e1e4c98c	common_voice_pl_20600480.mp3	Emilowi z trud nością przyszło wypowiadanie pewnych słów w obecności dyrektora i wychowawcy klasy	6.701625
d08ec452085c754377c9d34c19536c868b0785214c4ffa1230f5a02f1e66b57e352895a5d44bb651c5a2a1b8003f3ee50e63150aeeb3fbe4d0024c3f6b20accc	common_voice_pl_20716359.mp3	Będziesz miał wolną drogę	2.741625
509f81f11b4b56992f15f7e8842a35b534a3f8b7d4189f26c8d4b89acf1e8d341bb9897f546f0cb4a087a5d16c7b09d48b9157fa02274d034e26fb22bcf30d01	common_voice_pl_20604202.mp3	No, bo jakże	2.597625
0df23af0093898dde8a85c780cf1f26f544c710a8074c8293fed1dac52302d8ed618bf8057bc169e0ac6baad2b89d3324d46f9791fcb869f6dc6e0259b7ccbc3	common_voice_pl_20900987.mp3	W jaki sposób	2.213625
dbd68b306a7bb1b929f1f61b944028490d5b4a9d9b1bc23bbe64686d35f4540e8ba562aa278110d1d5c1581bad24b9b7fe85d60cea9ce8b1f4492646a60350cb	common_voice_pl_20626252.mp3	Niech Jej Wysokość wraca do domu	2.693625
a2db84266a607f095bafb294cad05f3fdcf2aa976d4376015cd39d34b1d3604eb891bdea505dff4598a8192bf00d39e8024c180233ae9cfdd33ea30d6493bce6	common_voice_pl_20751161.mp3	Kama leżała wciąż w głębokim uśpieniu	2.861625
dbd68b306a7bb1b929f1f61b944028490d5b4a9d9b1bc23bbe64686d35f4540e8ba562aa278110d1d5c1581bad24b9b7fe85d60cea9ce8b1f4492646a60350cb	common_voice_pl_20636727.mp3	Mój pies dostaje smakołyki za robienie sztuczek	3.749625
5250ab027c6fe566557c1d5f78e56c93382bf16e9c5da2141872041630db6c55d0ecb9001582b4947888c8f1efea397e7893e148aa7cb52243151d63e009e57a	common_voice_pl_25904871.mp3	Ma on również znaczenie jako pozytywny przykład dla naszych partnerów na całym świecie	4.3995
8c4eeac4b0268f6da0712d963ed4c527e004098ca234badee85b77c2453fd704a42e75f0eccd6caa481e5d5d25cb389f0c339690b3718dd2099b9688d1a46b89	common_voice_pl_21074725.mp3	Nasyciwszy oczy widokiem własnej krasy, zaczęła z powrotem ubierać się	6.221625
568038b598c5e0fc050bc43be3aa975afc4f29b663bb747bd2e35afd7adb718375dab9f5efa76f9b14db22a8df67de78c511ad98baa2b4e1eb41590de9303ae4	common_voice_pl_25463853.mp3	Wiem ja, co to znaczy	2.7075
2b747daea07abdf154e9122b1fbdd102d0bcbf9412e1fce60a49734c0a0008a770d10273c1d7fbb8ef1793be5cffb9946611a195f6320f5f4023cffbcb533bbb	common_voice_pl_25245359.mp3	Miałem pomieszanie zmysłów	2.8875
6254b049fcc3c3d0dcb48a3e7ef6d32121b348abeeb9672ff383c649f01de48c5a12878a09e61e9e594a156d5e6fd7ea7cbc8a7b787a210acc1a82799a045854	common_voice_pl_20614396.mp3	Tropiła go jak pies, chodziła za nim jak lunatyczka	3.941625
2c818dfafa7197d291cac63a8b8f41377c82ebf481d2a81244a0329a579d58a91d57d2de0938abb8b4dda68239b41046591191bf1400b012becb05434b37bb36	common_voice_pl_20818676.mp3	Pomacał ręką siennik i wydał okrzyk zdumienia	4.061625
